,Year,SA2_codes,pred_rent,pred_crime_count,pred_income_prsnl,pred_income_fam,pred_income_hhd,pred_pop
470,2024,204031073,309.33333333333394,968.2882971729115,810.0666666666657,2040.5333333333256,1563.9333333333343,13656.0
471,2024,204031075,309.0,968.2882971729115,921.1333333333314,2289.3333333333285,1956.1333333333314,4707.8000000000175
472,2024,205011076,361.3333333333321,968.2882971729115,752.7333333333372,1941.5999999999913,1568.9333333333198,18538.266666666605
473,2024,205011077,278.3333333333321,968.2882971729115,748.7333333333372,1924.199999999997,1582.8666666666686,6181.600000000006
474,2024,205011078,339.3333333333321,968.2882971729115,783.2000000000044,1982.5999999999913,1559.4666666666744,7697.8000000000175
475,2024,205011079,352.6666666666679,968.2882971729115,809.4000000000015,2150.399999999994,1724.0666666666802,21600.800000000047
476,2024,205021081,305.3999999999978,968.2882971729115,699.0666666666657,1632.9333333333198,1289.5333333333256,15317.866666666698
477,2024,205021082,272.0,968.2882971729115,722.8666666666686,1774.800000000003,1449.8666666666686,7928.733333333337
478,2024,205021084,287.66666666666606,968.2882971729115,606.8666666666686,1419.9333333333198,1087.1333333333314,11141.933333333349
479,2024,205021085,207.0,968.2882971729115,569.7333333333299,1390.199999999997,980.5333333333401,6665.599999999991
480,2024,205021086,341.3333333333321,968.2882971729115,611.8666666666686,1428.4666666666744,1147.0,7220.333333333314
481,2024,205031087,275.0,968.2882971729115,665.4666666666599,1598.3333333333285,1192.4000000000015,9439.799999999988
482,2024,205031089,306.6666666666679,968.2882971729115,722.4666666666599,1850.4000000000087,1474.6666666666715,9197.866666666698
483,2024,205031090,289.33333333333394,968.2882971729115,705.5333333333328,1849.4666666666744,1405.7333333333445,10544.600000000006
484,2024,205031091,355.6666666666679,968.2882971729115,676.7333333333299,1599.9333333333198,1245.5333333333401,13784.666666666628
485,2024,205041094,252.66666666666606,968.2882971729115,723.5333333333401,1819.6666666666715,1493.5333333333401,10810.600000000006
486,2024,205041095,229.33333333333394,968.2882971729115,633.5333333333401,1560.3333333333285,1083.9333333333343,16441.79999999999
487,2024,205041096,233.66666666666606,968.2882971729115,566.9333333333343,1360.9333333333198,995.3333333333358,13842.933333333349
488,2024,205041098,280.0,968.2882971729115,799.5999999999985,2144.4000000000087,1753.4000000000087,4223.733333333337
489,2024,205051100,212.0,968.2882971729115,649.2666666666628,1609.8666666666686,1151.2666666666628,4988.8000000000175
490,2024,205051101,275.3333333333321,968.2882971729115,730.5999999999985,1880.3333333333285,1449.9333333333198,13565.666666666686
491,2024,205051102,252.1333333333314,968.2882971729115,779.6666666666642,2003.4000000000087,1619.2666666666628,5518.06666666668
492,2024,205051103,306.3333333333321,968.2882971729115,754.5999999999985,1937.4666666666744,1450.1333333333314,13893.933333333349
493,2024,205051104,260.6666666666679,968.2882971729115,585.7333333333299,1469.5999999999913,1091.6666666666642,5511.733333333337
494,2024,206011106,446.66666666666606,301.30555555555475,1366.0666666666802,3045.733333333337,2254.5333333333256,13404.333333333372
495,2024,206011107,391.3999999999978,1252.3555555555504,1079.1333333333314,2773.399999999994,1921.199999999997,13328.933333333349
496,2024,206011109,452.3999999999978,699.9055555555606,1044.5333333333256,3043.1333333333605,2488.933333333349,9145.0
497,2024,206011495,385.433792470156,1190.6277777777796,853.5654729109272,2289.311662075299,1887.7965105601468,11796.7797979798
498,2024,206021110,406.7999999999993,516.5944444444394,1184.5333333333256,3404.1999999999825,2299.1333333333314,8239.533333333326
