,index,name,cost_text,Bed,Bath,Park,property_type,desc_head,LocID
45,https://www.domain.com.au/3-thomas-street-kew-vic-3101-16075570,3 Thomas Street Kew VIC 3101,2200.0,5,5,2,House,expans ward famili home,207011521
46,https://www.domain.com.au/4-cowper-street-sandringham-vic-3191-16043512,4 Cowper Street Sandringham VIC 3191,2150.0,4,2,2,House,execut famili home,208011173
47,https://www.domain.com.au/2a-omar-street-caulfield-south-vic-3162-16036419,2a Omar Street Caulfield South VIC 3162,2100.0,4,3,3,House,absolut perfect,208021178
48,https://www.domain.com.au/22-campbell-street-frankston-vic-3199-15959231,22 Campbell Street Frankston VIC 3199,2100.0,4,2,2,House,bond furnish bill includ,214011372
49,https://www.domain.com.au/8-champion-street-brighton-vic-3186-16048073,8 Champion Street Brighton VIC 3186,2100.0,5,3,2,House,stun home superb locat,208011169
50,https://www.domain.com.au/unit-2707-35-spring-street-melbourne-vic-3000-16044913,UNIT 2707/35 SPRING STREET Melbourne VIC 3000,2050.0,3,2,2,Apartment / Unit / Flat,immedi spring street view,206041503
51,https://www.domain.com.au/4-19-birdwood-avenue-brighton-vic-3186-15875170,4/19 Birdwood Avenue Brighton VIC 3186,2000.0,3,3,2,Apartment / Unit / Flat,penthous balconi pool overlook bay,208011169
52,https://www.domain.com.au/101-34-fitzroy-street-st-kilda-vic-3182-16079851,101/34 Fitzroy Street St Kilda VIC 3182,2000.0,2,1,1,Apartment / Unit / Flat,unconvent luxuri sophist design fulli furnish,206051514
53,https://www.domain.com.au/2-winmarleigh-close-brighton-vic-3186-15954363,2 Winmarleigh Close Brighton VIC 3186,2000.0,5,4,3,House,eleg famili home minut beach,208011169
54,https://www.domain.com.au/163-victoria-parade-fitzroy-vic-3065-15870974,163 Victoria Parade Fitzroy VIC 3065,2000.0,4,1,0,House,histor home garag apart,206071142
55,https://www.domain.com.au/1002-243-toorak-road-south-yarra-vic-3141-16056057,1002/243 Toorak Road South Yarra VIC 3141,2000.0,2,2,2,Apartment / Unit / Flat,fulli furnish capitol grand apart,206061515
56,https://www.domain.com.au/7-bonanza-road-beaumaris-vic-3193-15960625,7 Bonanza Road Beaumaris VIC 3193,2000.0,5,3,2,House,luxuri famili compound first class locat,208011168
57,https://www.domain.com.au/3803-483-swanston-street-melbourne-vic-3000-15680157,3803/483 Swanston Street Melbourne VIC 3000,2000.0,3,2,2,Apartment / Unit / Flat,breath take view execut style live fulli furnish,206041504
58,https://www.domain.com.au/85-market-street-south-melbourne-vic-3205-14089206,85 Market Street South Melbourne VIC 3205,2000.0,2,3,0,Apartment / Unit / Flat,call self contain execut bedroom bathroom apart short stay minimum week stay per week,206051512
59,https://www.domain.com.au/7-myambert-avenue-balwyn-vic-3103-15996572,7 Myambert Avenue Balwyn VIC 3103,2000.0,6,4,2,House,charm exclus central locat,207011147
60,https://www.domain.com.au/8-st-finbars-crescent-brighton-east-vic-3187-15969436,8 St Finbars Crescent Brighton East VIC 3187,1995.0,5,3,4,House,let,208011170
61,https://www.domain.com.au/802-181-fitzroy-st-st-kilda-vic-3182-15915050,802/181 Fitzroy St St Kilda VIC 3182,1975.0,2,2,1,Apartment / Unit / Flat,stylish penthous execut live magnific view conveni locat,206051513
62,https://www.domain.com.au/52-sargood-street-hampton-vic-3188-16053158,52 Sargood Street Hampton VIC 3188,1950.0,4,2,3,House,furnish charm four bedroom home,208011172
63,https://www.domain.com.au/1203-57-city-road-southbank-vic-3006-15631603,1203/57 City Road Southbank VIC 3006,1950.0,3,2,1,Apartment / Unit / Flat,execut apart perfect locat rent inclus bill unlimit,206041509
64,https://www.domain.com.au/27-donna-buang-street-camberwell-vic-3124-15704271,27 Donna Buang Street Camberwell VIC 3124,1900.0,1,1,0,House,contemporari famili home six bedroom,207011149
65,https://www.domain.com.au/7-wagstaff-court-brighton-vic-3186-15967461,7 Wagstaff Court Brighton VIC 3186,1900.0,5,3,4,House,ultim lifestyl,208011169
66,https://www.domain.com.au/120-glen-huntly-road-elwood-vic-3184-16058926,120 Glen Huntly Road Elwood VIC 3184,1900.0,2,2,1,Townhouse,level luxuri resid,206051129
67,https://www.domain.com.au/9-exon-street-brighton-vic-3186-16020106,9 Exon Street Brighton VIC 3186,1850.0,4,2,4,House,spaciou famili entertain,208011169
68,https://www.domain.com.au/19-iona-street-black-rock-vic-3193-16018912,19 Iona Street Black Rock VIC 3193,1850.0,4,1,2,House,water view wonder premier poolsid lifestyl,208011173
69,https://www.domain.com.au/23a-bruce-street-toorak-vic-3142-16012345,23A Bruce Street Toorak VIC 3142,1850.0,4,2,2,House,eleg north villag,206061138
70,https://www.domain.com.au/103-pleasant-road-hawthorn-east-vic-3123-16076834,103 Pleasant Road Hawthorn East VIC 3123,1850.0,4,2,4,Townhouse,stun qualiti modern luxuri junction conveni,207011152
71,https://www.domain.com.au/5-alimar-court-brighton-vic-3186-15910332,5 Alimar Court Brighton VIC 3186,1800.0,4,2,2,House,lifestyl,208011169
72,https://www.domain.com.au/2301-1-almeida-crescent-south-yarra-vic-3141-14425729,2301/1 Almeida Crescent South Yarra VIC 3141,1800.0,2,2,1,Apartment / Unit / Flat,luxuri bedroom capitol grand,206061515
73,https://www.domain.com.au/112-harold-st-middle-park-vic-3206-16049514,112 Harold St Middle Park VIC 3206,1800.0,4,2,0,House,eleg sea,206051128
74,https://www.domain.com.au/1302-1-powlett-street-east-melbourne-vic-3002-15984037,1302/1 Powlett Street East Melbourne VIC 3002,1800.0,1,1,1,Apartment / Unit / Flat,penthous breathtak view,206041119
75,https://www.domain.com.au/2-airedale-avenue-hawthorn-east-vic-3123-16029073,2 Airedale Avenue Hawthorn East VIC 3123,1800.0,4,2,0,House,stun contemporari resid,207011152
76,https://www.domain.com.au/24-dreadnought-street-sandringham-vic-3191-16037409,24 Dreadnought Street Sandringham VIC 3191,1800.0,4,1,2,House,light bright modern spaciou famili home pool,208011173
77,https://www.domain.com.au/24-salisbury-street-balwyn-vic-3103-16081852,24 Salisbury Street Balwyn VIC 3103,1800.0,4,3,2,House,beauti stylish hous,207011147
78,https://www.domain.com.au/417-250-st-kilda-road-southbank-vic-3006-16052549,417/250 St Kilda Road Southbank VIC 3006,1800.0,2,2,0,Apartment / Unit / Flat,prestigi address,206041509
79,https://www.domain.com.au/7-126-wellington-parade-east-melbourne-vic-3002-16061003,7/126 Wellington Parade East Melbourne VIC 3002,1800.0,2,2,1,Apartment / Unit / Flat,furnish penthous entertain crown jewel citi view,206041119
80,https://www.domain.com.au/1901-368-st-kilda-road-melbourne-vic-3000-16073890,1901/368 St Kilda Road Melbourne VIC 3000,1800.0,2,2,2,Apartment / Unit / Flat,royal domain apart offer best view,206051512
