region_id,Median_Tot_prsnl_inc_weekly,Median_rent_weekly,Median_Tot_fam_inc_weekly,Median_Tot_hhd_inc_weekly,total_population
215011387,462,78,1033,844,2610
215011388,531,170,1202,932,13658
215011389,528,80,1231,1026,2952
215011390,444,115,988,789,6230
215011391,398,122,932,732,3168
215011392,466,145,1123,859,7308
215011393,493,52,1062,809,2575
215011394,426,110,987,767,6402
215021395,505,168,1274,1061,5335
215021396,427,160,1034,853,3959
215021397,462,180,1064,854,26443
215021398,484,90,1161,901,3306
215021399,426,150,1060,853,4647
215031400,406,100,961,742,5600
215031401,430,110,965,785,5740
215031402,407,135,968,730,3467
215031403,443,150,1054,891,3221
215031404,508,170,1139,884,8933
215031405,453,120,1026,878,5615
216011406,509,200,1159,932,12264
216011407,458,160,1076,859,9218
216011408,441,100,1066,899,3114
216011409,466,140,1158,901,3342
216011410,393,125,941,768,3756
216021411,422,170,963,792,5465
216021412,471,100,1051,909,2238
216021413,438,150,1019,835,10493
216021414,435,190,987,809,6430
216031415,478,175,1101,848,6686
216031416,543,190,1272,1016,14813
216031417,495,200,1184,986,18264
216031418,553,150,1381,1211,3322
216031419,489,160,1153,967,8550
217011420,442,120,1122,865,7696
217011421,512,165,1212,903,8821
217011422,480,180,1226,930,9339
217011423,491,100,1165,918,5402
217021424,446,160,1038,807,3053
217021425,498,180,1173,906,10273
217021426,509,145,1210,979,4489
217021427,439,120,1066,818,4698
217021428,528,120,1235,1028,6158
217021429,541,120,1273,1050,5580
217021430,521,180,1272,1028,7577
217021431,475,195,1039,841,3075
217021432,536,220,1289,1047,16456
217021433,525,220,1316,998,11473
