Year,SA2_codes,Postcode,Offence Count
2014,206051134,3183,545
2014,206051511,3205,938
2014,206051514,3004,1854
2014,206051514,3182,1780
2014,206061135,3143,168
2014,206061136,3181,1094
2014,206061138,3142,331
2014,206061515,3141,801
2014,206071139,3067,755
2014,206071140,3054,206
2014,206071141,3066,799
2014,206071142,3065,1192
2014,206071143,3068,447
2014,206071518,3121,1404
2014,207011147,3103,297
2014,207011148,3104,284
2014,207011149,3124,347
2014,207011152,3123,124
2014,207011154,3102,72
2014,207011155,3126,107
2014,207011519,3122,377
2014,207011522,3101,383
2014,207021156,3105,203
2014,207021157,3108,293
2014,207021159,3106,143
2014,207021160,3107,135
2014,207021425,3109,173
2014,207031161,3130,460
2014,207031163,3128,600
2014,207031164,3129,192
2014,207031165,3125,276
2014,207031166,3151,156
2014,207031167,3127,192
2014,208011168,3193,262
2014,208011169,3186,424
2014,208011170,3187,164
2014,208011171,3190,387
2014,208011172,3188,593
2014,208011173,3191,234
2014,208021176,3163,666
2014,208021177,3161,241
2014,208021178,3162,304
2014,208021179,3185,372
2014,208021182,3204,497
2014,208021426,3165,466
2014,208031185,3197,375
2014,208031186,3196,706
2014,208031188,3192,540
2014,208031190,3194,398
2014,208031191,3189,417
2014,208031191,3202,100
2014,208031193,3195,836
2014,208041194,3144,239
2014,208041194,3146,272
2014,208041195,3145,488
2014,209011197,3088,408
2014,209011199,3081,915
2014,209011200,3079,329
2014,209011201,3084,835
2014,209011202,3093,60
2014,209011202,3094,116
2014,209011204,3087,169
2014,209021205,3085,225
2014,209021428,3072,1351
2014,209021524,3073,1661
2014,209031209,3095,384
2014,209031210,3099,67
2014,209031214,3113,81
2014,209031215,3089,191
2014,209041216,3083,747
2014,209041221,3082,712
2014,209041223,3074,819
2014,209041431,3076,1007
2014,209041436,3752,439
2014,209041530,3075,601
2014,210011226,3042,593
2014,210011228,3036,114
2014,210011533,3033,294
2014,210011533,3034,310
2014,210031236,3058,1107
2014,210031237,3060,253
2014,210031535,3046,1169
2014,210051242,3047,2018
2014,210051243,3061,395
2014,210051245,3049,343
2014,210051247,3048,909
2014,210051250,3043,497
2014,210051544,3064,1364
2014,211011251,3153,853
2014,211011254,3179,197
2014,211011254,3180,227
2014,211011256,3178,506
2014,211011260,3152,624
